Cardboard,Drywall,Paper,Laptop,Concrete,Sun,Tree,Lime Scooter,Veneer,Phone Screen
1.44V,1.49V,1.57V,0.86V,1.99V,2.63V,1.83V,1.93V,1.80V,2.30V
1.44V,1.49V,1.57V,0.87V,1.99V,2.63V,1.83V,1.93V,1.80V,2.30V
1.44V,1.49V,1.57V,0.87V,1.99V,2.63V,1.84V,1.93V,1.80V,2.30V
1.44V,1.49V,1.57V,0.87V,1.99V,2.63V,1.84V,1.93V,1.80V,2.30V
1.44V,1.49V,1.57V,0.87V,1.99V,2.63V,1.84V,1.93V,1.80V,2.30V
1.44V,1.49V,1.57V,0.87V,1.99V,2.63V,1.84V,1.93V,1.81V,2.30V
1.44V,1.49V,1.57V,0.87V,1.99V,2.63V,1.84V,1.93V,1.81V,2.30V
1.44V,1.49V,1.57V,0.87V,1.99V,2.63V,1.84V,1.93V,1.81V,2.30V
1.44V,1.49V,1.57V,0.87V,1.99V,2.63V,1.84V,1.93V,1.81V,2.30V
1.44V,1.49V,1.57V,0.87V,1.99V,2.63V,1.84V,1.93V,1.81V,2.31V
1.44V,1.49V,1.57V,0.87V,1.99V,2.63V,1.84V,1.93V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.84V,1.94V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.81V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.82V,2.31V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.82V,2.32V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.82V,2.32V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.82V,2.32V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.82V,2.32V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.82V,2.32V
1.44V,1.50V,1.57V,0.87V,1.99V,2.63V,1.88V,1.94V,1.82V,2.32V
1.44V,1.50V,1.57V,0.87V,1.99V,2.64V,1.88V,1.94V,1.82V,2.32V
1.44V,1.50V,1.57V,0.87V,1.99V,2.64V,1.88V,1.94V,1.82V,2.32V
1.44V,1.50V,1.57V,0.87V,1.99V,2.64V,1.88V,1.94V,1.82V,2.32V
1.44V,1.50V,1.57V,0.87V,1.99V,2.64V,1.88V,1.94V,1.82V,2.32V
1.44V,1.50V,1.57V,0.87V,1.99V,2.64V,1.88V,1.94V,1.82V,2.32V
1.44V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.32V
1.44V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.32V
1.44V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.32V
1.44V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.32V
1.44V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.32V
1.44V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.32V
1.44V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.32V
1.44V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.32V
1.44V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.32V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.32V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.32V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.32V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.32V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.32V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.32V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.32V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.32V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.94V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.95V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.95V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.95V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.95V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.95V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.95V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.95V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.95V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.95V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.89V,1.95V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.90V,1.95V,1.82V,2.33V
1.45V,1.50V,1.57V,0.87V,1.99V,2.64V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.57V,0.87V,1.99V,2.64V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.57V,0.87V,1.99V,2.64V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.57V,0.87V,1.99V,2.64V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.57V,0.87V,1.99V,2.64V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.57V,0.87V,1.99V,2.64V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.57V,0.87V,1.99V,2.64V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.57V,0.87V,1.99V,2.64V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.57V,0.87V,1.99V,2.64V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.57V,0.87V,1.99V,2.64V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.57V,0.87V,1.99V,2.64V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.57V,0.87V,1.99V,2.64V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.64V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.64V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.64V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.64V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.64V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.64V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.64V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.64V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.64V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.64V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.64V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.64V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.64V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.64V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.64V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.64V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.64V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.95V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.96V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.96V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.96V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.96V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.96V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.96V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.96V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.96V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.96V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.96V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.96V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.96V,1.82V,2.33V
1.45V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.90V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.87V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
