Cardboard,Drywall,Paper,Laptop,Concrete,Sun,Tree,Lime Scooter,Veneer,Phone Screen
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.91V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.92V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.92V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.92V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.92V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.92V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.92V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.92V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.92V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.92V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.92V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.65V,1.92V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.51V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.92V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.96V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.33V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.66V,1.93V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.67V,1.93V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.67V,1.93V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.67V,1.93V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.67V,1.93V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.67V,1.93V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.67V,1.93V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.67V,1.93V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.67V,1.93V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.67V,1.93V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.67V,1.93V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.67V,1.93V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.67V,1.93V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.67V,1.93V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.67V,1.93V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.67V,1.93V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.67V,1.93V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.67V,1.93V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.52V,1.58V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.52V,1.59V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.59V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.59V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.59V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.59V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.59V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.59V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.59V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.59V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.59V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.59V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.59V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.59V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.59V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.59V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.59V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.59V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.59V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.59V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.60V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.60V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.60V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.60V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.60V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.60V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.60V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.60V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.60V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.60V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.60V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.60V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.60V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.60V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.94V,1.97V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.97V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.97V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.97V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.97V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.98V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.98V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.98V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.98V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.98V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.98V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.98V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.98V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.98V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.98V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.98V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.98V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.98V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.98V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.98V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.98V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.98V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.98V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.98V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.98V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.98V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.98V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.98V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.98V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.98V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.98V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.98V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.98V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.98V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.98V,1.82V,2.34V
1.46V,1.53V,1.61V,0.88V,1.99V,2.67V,1.95V,1.98V,1.82V,2.34V
